rank,window,score,top_surprises
1,174187223154,1222.5805626952617,"[{""label"": ""pou_general_machine(37):43->67"", ""raw_label"": ""('37', '43', '67')"", ""surprise"": 13.815510557964274}, {""label"": ""turn_off_with_delay(35):20->46"", ""raw_label"": ""('35', '20', '46')"", ""surprise"": 13.815510557964274}, {""label"": ""turn_off_with_delay(35):51->53"", ""raw_label"": ""('35', '51', '53')"", ""surprise"": 13.815510557964274}, {""label"": ""turn_off_with_delay(35):69->71"", ""raw_label"": ""('35', '69', '71')"", ""surprise"": 13.815510557964274}, {""label"": ""turn_on_with_delay(34):24->26"", ""raw_label"": ""('34', '24', '26')"", ""surprise"": 13.815510557964274}]"
2,174187223134,701.160668229872,"[{""label"": ""waxi_end_access(27):101->169"", ""raw_label"": ""('27', '101', '169')"", ""surprise"": 4.994492707050919}, {""label"": ""memset(109):8->10"", ""raw_label"": ""('109', '8', '10')"", ""surprise"": 4.994492707050919}, {""label"": ""memset(109):8->22"", ""raw_label"": ""('109', '8', '22')"", ""surprise"": 4.994492707050919}, {""label"": ""memset(109):28->30"", ""raw_label"": ""('109', '28', '30')"", ""surprise"": 4.994492707050919}, {""label"": ""memset(109):57->384"", ""raw_label"": ""('109', '57', '384')"", ""surprise"": 4.994492707050919}]"
3,174187224018,187.40851511540987,"[{""label"": ""tick(22):1209->1211"", ""raw_label"": ""('22', '1209', '1211')"", ""surprise"": 9.3428835334711}, {""label"": ""tick(22):1634->2765"", ""raw_label"": ""('22', '1634', '2765')"", ""surprise"": 9.3428835334711}, {""label"": ""tick(22):1375->1377"", ""raw_label"": ""('22', '1375', '1377')"", ""surprise"": 7.298763325763333}, {""label"": ""tick(22):1397->1632"", ""raw_label"": ""('22', '1397', '1632')"", ""surprise"": 7.298763325763333}, {""label"": ""tick(22):1287->1311"", ""raw_label"": ""('22', '1287', '1311')"", ""surprise"": 7.21019574939197}]"
4,174187224597,185.03572247575747,"[{""label"": ""tick(22):1209->1211"", ""raw_label"": ""('22', '1209', '1211')"", ""surprise"": 13.815510557964274}, {""label"": ""tick(22):1634->2765"", ""raw_label"": ""('22', '1634', '2765')"", ""surprise"": 13.815510557964274}, {""label"": ""tick(22):1287->1289"", ""raw_label"": ""('22', '1287', '1289')"", ""surprise"": 13.815510557964274}, {""label"": ""tick(22):1309->1633"", ""raw_label"": ""('22', '1309', '1633')"", ""surprise"": 13.815510557964274}, {""label"": ""turn_on_with_delay(34):71->73"", ""raw_label"": ""('34', '71', '73')"", ""surprise"": 1.4427822695082235}]"
5,174187223156,167.9183895692541,"[{""label"": ""__rem_pio2(72):67->641"", ""raw_label"": ""('72', '67', '641')"", ""surprise"": 2.8766881392544916}, {""label"": ""__rem_pio2(72):755->757"", ""raw_label"": ""('72', '755', '757')"", ""surprise"": 2.8766881392544916}, {""label"": ""__rem_pio2(72):762->773"", ""raw_label"": ""('72', '762', '773')"", ""surprise"": 2.8766881392544916}, {""label"": ""__rem_pio2(72):778->780"", ""raw_label"": ""('72', '778', '780')"", ""surprise"": 2.8766881392544916}, {""label"": ""__rem_pio2(72):849->851"", ""raw_label"": ""('72', '849', '851')"", ""surprise"": 2.8766881392544916}]"
6,174187224938,160.8522918824744,"[{""label"": ""pou_standup_rel(39):511->513"", ""raw_label"": ""('39', '511', '513')"", ""surprise"": 7.408906084009426}, {""label"": ""pou_standup_rel(39):526->528"", ""raw_label"": ""('39', '526', '528')"", ""surprise"": 7.031717792659009}, {""label"": ""tick(22):1375->1399"", ""raw_label"": ""('22', '1375', '1399')"", ""surprise"": 6.846542988276518}, {""label"": ""pou_standup_rel(39):456->458"", ""raw_label"": ""('39', '456', '458')"", ""surprise"": 6.846542988276518}, {""label"": ""pou_lqr_sim(40):44->46"", ""raw_label"": ""('40', '44', '46')"", ""surprise"": 6.595225566058956}]"
7,174187223999,141.68215559659862,"[{""label"": ""tick(22):1676->1806"", ""raw_label"": ""('22', '1676', '1806')"", ""surprise"": 9.053830722838546}, {""label"": ""tick(22):1889->1930"", ""raw_label"": ""('22', '1889', '1930')"", ""surprise"": 9.053830722838546}, {""label"": ""tick(22):2093->2095"", ""raw_label"": ""('22', '2093', '2095')"", ""surprise"": 6.615338816678064}, {""label"": ""tick(22):2173->2763"", ""raw_label"": ""('22', '2173', '2763')"", ""surprise"": 6.615338816678064}, {""label"": ""stays_balanced(20):58->60"", ""raw_label"": ""('20', '58', '60')"", ""surprise"": 6.615338816678064}]"
8,174187223998,135.6028734989178,"[{""label"": ""tick(22):1676->1806"", ""raw_label"": ""('22', '1676', '1806')"", ""surprise"": 8.498434635045243}, {""label"": ""tick(22):1889->1930"", ""raw_label"": ""('22', '1889', '1930')"", ""surprise"": 8.498434635045243}, {""label"": ""tick(22):2093->2095"", ""raw_label"": ""('22', '2093', '2095')"", ""surprise"": 6.825968770053093}, {""label"": ""tick(22):2173->2763"", ""raw_label"": ""('22', '2173', '2763')"", ""surprise"": 6.825968770053093}, {""label"": ""stays_balanced(20):58->60"", ""raw_label"": ""('20', '58', '60')"", ""surprise"": 6.825968770053093}]"
9,174187223155,133.801869826669,"[{""label"": ""turn_on_with_delay(34):71->73"", ""raw_label"": ""('34', '71', '73')"", ""surprise"": 2.4415707459648055}, {""label"": ""pou_drive_control_word(42):84->86"", ""raw_label"": ""('42', '84', '86')"", ""surprise"": 2.3620904745350457}, {""label"": ""pou_drive_control_word(42):88->90"", ""raw_label"": ""('42', '88', '90')"", ""surprise"": 2.3620904745350457}, {""label"": ""pou_drive_control_word(42):93->95"", ""raw_label"": ""('42', '93', '95')"", ""surprise"": 2.3620904745350457}, {""label"": ""pou_drive_control_word(42):115->140"", ""raw_label"": ""('42', '115', '140')"", ""surprise"": 2.3620904745350457}]"
10,174187224571,117.62970183964644,"[{""label"": ""pou_standup_rel(39):526->542"", ""raw_label"": ""('39', '526', '542')"", ""surprise"": 7.657704163281313}, {""label"": ""pou_standup_rel(39):511->513"", ""raw_label"": ""('39', '511', '513')"", ""surprise"": 7.148825141910177}, {""label"": ""pou_standup_rel(39):526->528"", ""raw_label"": ""('39', '526', '528')"", ""surprise"": 6.84570227614812}, {""label"": ""pou_lqr_sim(40):44->46"", ""raw_label"": ""('40', '44', '46')"", ""surprise"": 6.22537847649912}, {""label"": ""pou_lqr_sim(40):83->185"", ""raw_label"": ""('40', '83', '185')"", ""surprise"": 6.22537847649912}]"
