edge_id,func_name,lag_1,lag_2,lag_5,lag_10,lag_50,lag_100,lag_500,lag_1000
31:101:169,waxi_end_access,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
33:19:21,pou_main,,,,,,,,
33:19:46,pou_main,,,,,,,,
33:24:46,pou_main,,,,,,,,
33:52:54,pou_main,,,,,,,,
33:52:102,pou_main,,,,,,,,
33:57:59,pou_main,,,,,,,,
33:57:102,pou_main,,,,,,,,
33:71:73,pou_main,,,,,,,,
33:112:114,pou_main,,,,,,,,
33:112:129,pou_main,,,,,,,,
33:116:118,pou_main,,,,,,,,
34:8:10,turn_on_with_delay,,,,,,,,
34:19:21,turn_on_with_delay,-0.0068,-0.0054,0.0123,-0.0018,0.0042,-0.0035,-0.0059,-0.0013
34:19:46,turn_on_with_delay,-0.0068,-0.0054,0.0123,-0.0018,0.0042,-0.0035,-0.0059,-0.0013
34:24:46,turn_on_with_delay,-0.0119,-0.0034,0.0245,-0.0082,-0.0004,0.0042,-0.0158,-0.0008
34:52:54,turn_on_with_delay,-0.0068,-0.0054,0.0123,-0.0018,0.0042,-0.0035,-0.0059,-0.0013
34:52:102,turn_on_with_delay,-0.0119,-0.0034,0.0245,-0.0082,-0.0004,0.0042,-0.0158,-0.0008
34:57:59,turn_on_with_delay,-0.0205,-0.0109,0.0092,0.0059,-0.0022,0.0055,-0.0084,-0.0024
34:57:102,turn_on_with_delay,0.0017,-0.0038,0.018,0.0055,-0.0118,0.0044,0.0119,0.0108
34:71:73,turn_on_with_delay,-0.0052,-0.0111,-0.0004,0.0119,-0.0039,-0.001,-0.0011,0.0026
34:71:88,turn_on_with_delay,-0.0111,0.0031,0.0031,-0.0103,0.0058,-0.0012,-0.0119,-0.0008
34:112:114,turn_on_with_delay,0.0017,-0.0038,0.018,0.0055,-0.0118,0.0044,0.0119,0.0108
34:112:129,turn_on_with_delay,-0.0119,-0.0034,0.0245,-0.0082,-0.0004,0.0042,-0.0158,-0.0008
34:116:118,turn_on_with_delay,0.0017,-0.0038,0.018,0.0055,-0.0118,0.0044,0.0119,0.0108
63:8:10,fmin,0.0092,0.0077,-0.001,-0.0039,-0.0053,-0.0045,0.0001,-0.001
63:17:22,fmin,0.0092,0.0077,-0.001,-0.0039,-0.0053,-0.0045,0.0001,-0.001
64:8:10,fmax,0.0092,0.0077,-0.001,-0.0039,-0.0053,-0.0045,0.0001,-0.001
64:17:22,fmax,0.0092,0.0077,-0.001,-0.0039,-0.0053,-0.0045,0.0001,-0.001
77:29:31,log,0.0008,-0.0057,-0.0101,0.0051,0.0008,0.003,0.0034,-0.0099
77:29:252,log,-0.0041,0.0054,-0.0033,0.0063,-0.0093,-0.0049,-0.0099,-0.0042
77:275:388,log,-0.0041,0.0054,-0.0033,0.0063,-0.0093,-0.0049,-0.0099,-0.0042
