session_id,n_sampled,mean_31:101:169,std_31:101:169,mean_33:19:21,std_33:19:21,mean_33:19:46,std_33:19:46,mean_33:24:46,std_33:24:46,mean_33:52:54,std_33:52:54,mean_33:52:102,std_33:52:102,mean_33:57:59,std_33:57:59,mean_33:57:102,std_33:57:102,mean_33:71:73,std_33:71:73,mean_33:112:114,std_33:112:114,mean_33:112:129,std_33:112:129,mean_33:116:118,std_33:116:118,mean_34:8:10,std_34:8:10,mean_34:19:21,std_34:19:21,mean_34:19:46,std_34:19:46,mean_34:24:46,std_34:24:46,mean_34:52:54,std_34:52:54,mean_34:52:102,std_34:52:102,mean_34:57:59,std_34:57:59,mean_34:57:102,std_34:57:102,mean_34:71:73,std_34:71:73,mean_34:71:88,std_34:71:88,mean_34:112:114,std_34:112:114,mean_34:112:129,std_34:112:129,mean_34:116:118,std_34:116:118,mean_63:8:10,std_63:8:10,mean_63:17:22,std_63:17:22,mean_64:8:10,std_64:8:10,mean_64:17:22,std_64:17:22,mean_77:29:31,std_77:29:31,mean_77:29:252,std_77:29:252,mean_77:275:388,std_77:275:388
2025-03-13_09-23-44,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.58,0.6321,1.42,0.6321,1.204,0.4673,1.42,0.6321,1.204,0.4673,1.0,0.5215,0.42,0.4976,0.322,0.5122,0.678,0.4799,0.42,0.4976,1.204,0.4673,0.42,0.4976,1.296,0.7825,1.296,0.7825,1.296,0.7825,1.296,0.7825,0.156,0.3843,0.444,0.7422,0.444,0.7422
2025-03-13_11-12-19,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.82,0.6779,1.18,0.6779,1.474,0.5112,1.18,0.6779,1.474,0.5112,0.876,0.6698,0.304,0.4643,0.432,0.5267,0.444,0.5009,0.304,0.4643,1.474,0.5112,0.304,0.4643,1.812,0.5105,1.812,0.5105,1.812,0.5105,1.812,0.5105,0.03,0.1819,0.13,0.4659,0.13,0.4659
2025-03-13_13-31-50,501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.7505,0.6594,1.2495,0.6594,1.481,0.5154,1.2495,0.6594,1.481,0.5154,0.9501,0.6683,0.2994,0.4666,0.507,0.5708,0.4431,0.5047,0.2994,0.4666,1.481,0.5154,0.2994,0.4666,1.8922,0.3101,1.8922,0.3101,1.8922,0.3101,1.8922,0.3101,0.0539,0.2428,0.1617,0.5013,0.1617,0.5013
2025-03-13_14-32-27,500,0.998,0.0447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994,0.134,1.772,0.6603,1.222,0.6578,1.51,0.5347,1.222,0.6578,1.51,0.5347,0.958,0.6987,0.264,0.4498,0.642,0.6737,0.316,0.4776,0.264,0.4498,1.51,0.5347,0.264,0.4498,1.922,0.2755,1.922,0.2755,1.922,0.2755,1.922,0.2755,0.028,0.1767,0.12,0.449,0.12,0.449
2025-03-17_10-06-14,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.79,0.6557,1.21,0.6557,1.51,0.4999,1.21,0.6557,1.51,0.4999,0.882,0.6753,0.328,0.4737,0.506,0.6148,0.376,0.4844,0.328,0.4737,1.51,0.4999,0.328,0.4737,1.986,0.1175,1.986,0.1175,1.986,0.1175,1.986,0.1175,0.004,0.0631,0.024,0.2084,0.024,0.2084
2025-03-17_10-21-19,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.776,0.6464,1.224,0.6464,1.494,0.5039,1.224,0.6464,1.494,0.5039,0.966,0.6818,0.258,0.4375,0.626,0.6466,0.34,0.4779,0.258,0.4375,1.494,0.5039,0.258,0.4375,1.96,0.2154,1.96,0.2154,1.96,0.2154,1.96,0.2154,0.012,0.1089,0.052,0.2988,0.052,0.2988
2025-03-17_10-36-44,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.746,0.6644,1.254,0.6644,1.494,0.5079,1.254,0.6644,1.494,0.5079,0.998,0.7197,0.256,0.4364,0.644,0.6397,0.354,0.4865,0.256,0.4364,1.494,0.5079,0.256,0.4364,1.972,0.198,1.972,0.198,1.972,0.198,1.972,0.198,0.0,0.0,0.032,0.251,0.032,0.251
2025-03-17_10-51-58,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.782,0.6801,1.218,0.6801,1.4,0.4899,1.218,0.6801,1.4,0.4899,0.824,0.614,0.394,0.4886,0.412,0.6085,0.412,0.4922,0.394,0.4886,1.4,0.4899,0.394,0.4886,1.94,0.2905,1.94,0.2905,1.94,0.2905,1.94,0.2905,0.016,0.1255,0.048,0.2787,0.048,0.2787
2025-03-17_11-06-39,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.774,0.6472,1.226,0.6472,1.514,0.5038,1.226,0.6472,1.514,0.5038,0.912,0.7129,0.314,0.4641,0.58,0.629,0.332,0.4709,0.314,0.4641,1.514,0.5038,0.314,0.4641,1.984,0.1255,1.984,0.1255,1.984,0.1255,1.984,0.1255,0.008,0.0891,0.024,0.1986,0.024,0.1986
2025-03-18_12-39-10,500,1.002,0.0447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.82,0.66,1.18,0.66,1.52,0.5115,1.18,0.66,1.52,0.5115,0.922,0.6985,0.258,0.4466,0.584,0.6188,0.338,0.4855,0.258,0.4466,1.52,0.5115,0.258,0.4466,1.952,0.2484,1.952,0.2484,1.952,0.2484,1.952,0.2484,0.032,0.2428,0.032,0.2428,0.032,0.2428
2025-03-19_10-05-47,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.778,0.6788,1.222,0.6788,1.362,0.501,1.222,0.6788,1.362,0.501,0.85,0.6062,0.372,0.4833,0.406,0.5943,0.444,0.4969,0.372,0.4833,1.362,0.501,0.372,0.4833,1.74,0.6232,1.74,0.6232,1.74,0.6232,1.74,0.6232,0.036,0.1967,0.092,0.3789,0.092,0.3789
2025-03-19_10-20-35,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.836,0.6672,1.164,0.6672,1.52,0.5036,1.164,0.6672,1.52,0.5036,0.894,0.6684,0.27,0.4529,0.568,0.6304,0.326,0.4687,0.27,0.4529,1.52,0.5036,0.27,0.4529,1.962,0.2204,1.962,0.2204,1.962,0.2204,1.962,0.2204,0.022,0.1831,0.03,0.2216,0.03,0.2216
2025-03-19_10-37-56,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.76,0.6741,1.24,0.6741,1.448,0.5013,1.24,0.6741,1.448,0.5013,0.992,0.7071,0.248,0.4365,0.602,0.657,0.39,0.4877,0.248,0.4365,1.448,0.5013,0.248,0.4365,1.976,0.1656,1.976,0.1656,1.976,0.1656,1.976,0.1656,0.006,0.0772,0.034,0.2467,0.034,0.2467
2025-03-19_11-10-13,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.802,0.6714,1.198,0.6714,1.502,0.504,1.198,0.6714,1.502,0.504,0.928,0.7063,0.27,0.444,0.59,0.6526,0.338,0.473,0.27,0.444,1.502,0.504,0.27,0.444,1.968,0.1974,1.968,0.1974,1.968,0.1974,1.968,0.1974,0.014,0.1477,0.034,0.2467,0.034,0.2467
2025-03-20_09-31-56,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.796,0.677,1.204,0.677,1.484,0.5077,1.204,0.677,1.484,0.5077,0.898,0.675,0.306,0.4651,0.558,0.6408,0.34,0.4821,0.306,0.4651,1.484,0.5077,0.306,0.4651,1.988,0.1089,1.988,0.1089,1.988,0.1089,1.988,0.1089,0.002,0.0447,0.022,0.2038,0.022,0.2038
2025-03-20_09-46-30,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.708,0.6624,1.292,0.6624,1.42,0.4976,1.292,0.6624,1.42,0.4976,0.964,0.6502,0.328,0.4737,0.538,0.6454,0.426,0.4945,0.328,0.4737,1.42,0.4976,0.328,0.4737,1.77,0.5737,1.77,0.5737,1.77,0.5737,1.77,0.5737,0.026,0.1712,0.13,0.4702,0.13,0.4702
2025-03-20_10-03-00,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.826,0.6839,1.174,0.6839,1.494,0.5,1.174,0.6839,1.494,0.5,0.902,0.6756,0.272,0.4495,0.582,0.6319,0.32,0.4665,0.272,0.4495,1.494,0.5,0.272,0.4495,1.982,0.1723,1.982,0.1723,1.982,0.1723,1.982,0.1723,0.002,0.0447,0.01,0.1338,0.01,0.1338
