session_id,n_ticks,n_episodes,pct_SWINGUP,mean_ep_ms_SWINGUP,n_ep_SWINGUP,pct_BALANCE,mean_ep_ms_BALANCE,n_ep_BALANCE,pct_RESET,mean_ep_ms_RESET,n_ep_RESET
2025-03-13_09-23-44,34490,7,30.6,5277.2,2,49.6,5697.3,3,19.8,3419.2,2.0
2025-03-13_11-12-19,186059,11,7.5,3501.2,4,87.2,40579.9,4,5.2,3244.2,3.0
2025-03-13_13-31-50,69636,2,12.4,8665.4,1,87.6,60971.8,1,,,
2025-03-13_14-32-27,111142,2,7.5,8324.4,1,92.5,102820.9,1,,,
2025-03-17_10-06-14,490051,2,1.7,8260.0,1,98.3,481789.0,1,,,
2025-03-17_10-21-19,487603,5,1.9,4685.5,2,97.5,237614.5,2,0.6,2998.0,1.0
2025-03-17_10-36-44,491899,5,1.8,4492.5,2,97.5,239761.5,2,0.7,3386.0,1.0
2025-03-17_10-51-58,485376,8,2.4,3828.3,3,96.3,155741.7,3,1.4,3329.0,2.0
2025-03-17_11-06-39,494600,2,1.7,8305.0,1,98.3,486293.0,1,,,
2025-03-18_12-39-10,572563,8,2.1,3913.7,3,96.8,184666.0,3,1.2,3408.0,2.0
