func_id,name,n_blocks,n_edges,n_instructions,n_direct_calls,n_indirect_calls
102,printf_core,379,532,4528,83,0
49,dlmalloc,203,268,3021,7,0
71,__rem_pio2_large,132,210,2215,4,0
22,tick,32,51,1334,18,0
30,log_data,22,25,1201,28,0
26,ethercat_read,10,14,922,21,0
51,dlfree,60,80,796,0,0
29,ethercat_write,9,12,743,14,0
21,execute,36,46,573,7,0
108,memcpy,32,50,515,0,0
72,__rem_pio2,36,44,510,1,0
23,init,9,12,442,13,0
24,deinit,7,14,390,14,0
103,pop_arg,2,22,268,1,0
32,set_end_of_process_flag,6,10,262,7,0
77,log,7,14,252,2,0
38,pou_general_drive,2,5,220,3,0
111,memchr,23,31,203,0,0
109,memset,10,15,197,0,0
101,vfprintf,9,15,177,3,1
39,pou_standup_rel,5,9,172,5,0
90,__stdio_exit,14,25,169,1,8
97,wcrtomb,10,19,152,0,0
40,pou_lqr_sim,6,10,152,4,0
84,__stdio_write,6,11,148,2,0
93,fwrite,12,19,138,2,2
33,pou_main,8,13,119,0,0
20,stays_balanced,5,9,116,0,0
92,__fwritex,8,15,112,2,2
46,waxi_sdk_log_extended,1,3,108,3,0
110,strlen,11,17,96,0,0
74,cos,10,13,93,6,0
45,waxi_sdk_log,1,3,87,3,0
42,pou_drive_control_word,11,14,87,1,0
107,sn_write,3,7,85,2,0
31,waxi_end_access,2,5,84,2,0
27,waxi_end_access,2,5,84,2,0
34,turn_on_with_delay,9,16,81,1,0
78,scalbn,8,11,79,0,0
54,__main_void,6,13,79,13,0
35,turn_off_with_delay,9,16,75,1,0
106,vsnprintf,3,6,73,2,0
104,pad,7,12,69,3,0
37,pou_general_machine,3,6,67,2,0
73,__sin,2,5,61,0,0
99,frexp,4,9,57,1,0
52,calloc,6,10,55,2,0
70,__cos,1,3,52,0,0
47,__clock_gettime,3,6,48,1,0
83,writev,5,8,46,1,0
91,__towrite,2,5,44,0,0
87,__isatty,5,8,42,1,0
25,ts2ns,1,3,41,0,0
85,__lseek,3,6,41,1,0
66,sbrk,5,10,40,1,0
28,get_nth_bit_in_byte,1,3,39,0,0
96,strerror,2,5,28,1,0
67,__assert_fail,1,3,25,2,0
36,pou_general_axis,3,7,23,0,0
19,_start,3,7,23,4,0
88,__stdout_write,3,6,22,2,0
64,fmax,3,7,20,0,0
63,fmin,3,7,20,0,0
80,printf,1,3,19,1,0
79,fprintf,1,3,19,1,0
100,fputs,1,3,14,2,0
81,close,2,5,13,1,0
98,wctomb,2,5,11,1,0
112,strnlen,1,3,11,1,0
60,__wasi_fd_seek,1,3,8,1,0
61,__wasi_fd_write,1,3,8,1,0
105,long_double_not_supported,1,3,7,2,0
44,sys_reset_drive_output,1,3,7,0,0
43,sys_reset_machine_ouput,1,3,7,0,0
57,__wasi_clock_time_get,1,3,7,1,0
76,__math_invalid,1,3,7,0,0
59,__wasi_fd_fdstat_get,1,3,6,1,0
55,__wasi_args_get,1,3,6,1,0
86,__stdio_seek,1,3,6,1,0
56,__wasi_args_sizes_get,1,3,6,1,0
75,__math_divzero,1,3,5,0,0
58,__wasi_fd_close,1,3,5,1,0
95,__lctrans,1,3,4,1,0
62,__wasi_proc_exit,1,3,4,1,0
41,reset_drive,1,3,4,0,0
53,_Exit,1,3,4,1,0
82,__stdio_close,1,3,4,1,0
48,malloc,1,3,3,1,0
65,abort,1,3,3,0,0
50,free,1,3,3,1,0
69,__wasm_call_dtors,1,3,3,2,0
94,dummy,1,3,2,0,0
89,__ofl_lock,1,3,2,0,0
18,__wasm_call_ctors,1,2,1,0,0
68,dummy,1,2,1,0,0
17,__imported_wasi_snapshot_preview1_proc_exit,1,1,0,0,0
10,__imported_wasi_snapshot_preview1_args_get,1,1,0,0,0
11,__imported_wasi_snapshot_preview1_args_sizes_get,1,1,0,0,0
12,__imported_wasi_snapshot_preview1_clock_time_get,1,1,0,0,0
13,__imported_wasi_snapshot_preview1_fd_close,1,1,0,0,0
14,__imported_wasi_snapshot_preview1_fd_fdstat_get,1,1,0,0,0
15,__imported_wasi_snapshot_preview1_fd_seek,1,1,0,0,0
16,__imported_wasi_snapshot_preview1_fd_write,1,1,0,0,0
7,waxi_logging_log,1,1,0,0,0
9,main,1,1,0,0,0
2,waxi_dlr_factory_close_memory,1,1,0,0,0
3,waxi_dlr_user_begin_access,1,1,0,0,0
4,waxi_dlr_user_read_bytes,1,1,0,0,0
1,waxi_dlr_factory_open_memory,1,1,0,0,0
5,waxi_dlr_user_end_access,1,1,0,0,0
6,waxi_dlr_user_write_bytes,1,1,0,0,0
8,waxi_logging_log_extended,1,1,0,0,0
0,waxi_service_dlr_factory,1,1,0,0,0
