edge_id,func_id,func_name,firing_rate,mean_count,std_count,min_count,max_count,unique_values,entropy_bits,is_variable
20:58:60,20,stays_balanced,0.0273,0.0273,0.1631,0,1,"[0, 1]",0.1808,True
20:152:154,20,stays_balanced,0.0,0.0,0.0,0,0,[0],-0.0,False
20:152:178,20,stays_balanced,0.0273,0.0273,0.1631,0,1,"[0, 1]",0.1808,True
20:176:224,20,stays_balanced,0.0,0.0,0.0,0,0,[0],-0.0,False
20:179:201,20,stays_balanced,0.0273,0.0273,0.1631,0,1,"[0, 1]",0.1808,True
21:101:113,21,execute,1.0,1.0,0.0,1,1,[1],-0.0,False
21:101:559,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:101:660,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:101:840,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:101:1019,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:155:201,21,execute,1.0,1.0,0.0,1,1,[1],-0.0,False
21:251:297,21,execute,1.0,1.0,0.0,1,1,[1],-0.0,False
21:348:350,21,execute,1.0,1.0,0.0,1,1,[1],-0.0,False
21:377:443,21,execute,1.0,1.0,0.0,1,1,[1],-0.0,False
21:456:1234,21,execute,1.0,1.0,0.0,1,1,[1],-0.0,False
21:598:604,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:598:618,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:598:632,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:616:1234,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:630:1234,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:644:1234,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:699:812,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:824:1234,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:879:885,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:897:1234,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:1058:1092,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
21:1104:1234,21,execute,0.0,0.0,0.0,0,0,[0],-0.0,False
22:209:253,22,tick,1.0,1.0,0.0,1,1,[1],-0.0,False
22:230:312,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:332:496,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:336:418,22,tick,1.0,1.0,0.0,1,1,[1],-0.0,False
22:438:602,22,tick,1.0,1.0,0.0,1,1,[1],-0.0,False
22:632:634,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:663:665,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:738:740,22,tick,1.0,1.0,0.0,1,1,[1],-0.0,False
22:769:771,22,tick,1.0,1.0,0.0,1,1,[1],-0.0,False
22:986:988,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:986:1037,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1035:1037,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1035:1057,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1091:1093,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1091:1522,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1092:1094,22,tick,0.9953,0.9953,0.0682,0,1,"[0, 1]",0.0429,True
22:1092:1143,22,tick,0.0047,0.0047,0.0682,0,1,"[0, 1]",0.0429,True
22:1141:1143,22,tick,0.002,0.002,0.0447,0,1,"[0, 1]",0.0208,True
22:1141:1167,22,tick,0.9933,0.9933,0.0814,0,1,"[0, 1]",0.0578,True
22:1144:1146,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1144:1166,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1164:1519,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1209:1211,22,tick,0.0793,0.0793,0.2703,0,1,"[0, 1]",0.3998,True
22:1209:1636,22,tick,0.9207,0.9207,0.2703,0,1,"[0, 1]",0.3998,True
22:1228:1230,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1250:1518,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1287:1289,22,tick,0.035,0.035,0.1838,0,1,"[0, 1]",0.2189,True
22:1287:1311,22,tick,0.0443,0.0443,0.2058,0,1,"[0, 1]",0.2618,True
22:1309:1633,22,tick,0.035,0.035,0.1838,0,1,"[0, 1]",0.2189,True
22:1375:1377,22,tick,0.0443,0.0443,0.2058,0,1,"[0, 1]",0.2618,True
22:1375:1399,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1397:1632,22,tick,0.0443,0.0443,0.2058,0,1,"[0, 1]",0.2618,True
22:1520:3268,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1562:1564,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1562:1679,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1600:1602,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1634:2765,22,tick,0.0793,0.0793,0.2703,0,1,"[0, 1]",0.3998,True
22:1676:1678,22,tick,0.1623,0.1623,0.3688,0,1,"[0, 1]",0.6399,True
22:1676:1806,22,tick,0.7583,0.7583,0.4281,0,1,"[0, 1]",0.7978,True
22:1714:1716,22,tick,0.1623,0.1623,0.3688,0,1,"[0, 1]",0.6399,True
22:1762:1764,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
22:1762:1803,22,tick,0.0,0.0,0.0,0,0,[0],-0.0,False
