# Controller + Math Edge Reference (318 edges)
# Generated from 30 sessions
# * = variable edge (std > 0.01)
# ====================================================================================================

## __rem_pio2 (func_id=72, 20 edges)
    72:53:55             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:67:69             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:67:641            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=8/30 | zero=0.0%
    72:80:82             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:80:206            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:86:110            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    72:89:91             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:89:148            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:146:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:204:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:214:216           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:214:273           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:271:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:329:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    72:755:757           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=8/30 | zero=0.0%
    72:762:773           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=8/30 | zero=0.0%
    72:778:780           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=8/30 | zero=0.0%
    72:849:851           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=8/30 | zero=0.0%
    72:855:908           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=8/30 | zero=0.0%
    72:922:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=8/30 | zero=0.0%

## __rem_pio2_large (func_id=71, 19 edges)
    71:53:55             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:67:69             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:67:641            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:80:82             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:80:206            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:89:91             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:89:148            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:146:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:204:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:214:216           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:214:273           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:271:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:329:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:755:757           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:762:773           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:778:780           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:849:851           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:855:908           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    71:922:1255          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%

## __sin (func_id=73, 11 edges)
    73:45:47             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:45:90             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:67:69             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:86:110            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    73:88:229            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:102:113           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:135:162           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:135:186           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:135:208           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:184:229           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    73:206:229           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%

## cos (func_id=74, 10 edges)
    74:45:47             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:45:90             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:67:69             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:88:229            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:102:113           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:135:162           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:135:186           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:135:208           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:184:229           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    74:206:229           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%

## ethercat_read (func_id=26, 5 edges)
    26:156:247           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    26:372:490           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    26:636:755           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    26:1022:1153         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    26:1381:1383         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%

## ethercat_write (func_id=29, 4 edges)
    29:312:420           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    29:520:639           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    29:1321:1462         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    29:1592:1733         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%

## execute (func_id=21, 22 edges)
    21:101:113           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    21:101:559           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=5/30 | zero=0.0%
    21:101:660           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:101:840           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=2/30 | zero=0.0%
    21:101:1019          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:155:201           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    21:251:297           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    21:348:350           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    21:377:443           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    21:456:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    21:598:604           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:598:618           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=3/30 | zero=0.0%
    21:598:632           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=2/30 | zero=0.0%
    21:616:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:630:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=3/30 | zero=0.0%
    21:644:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=2/30 | zero=0.0%
    21:699:812           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:824:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:879:885           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=2/30 | zero=0.0%
    21:897:1234          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=2/30 | zero=0.0%
    21:1058:1092         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    21:1104:1234         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%

## fmax (func_id=64, 2 edges)
  * 64:8:10              | mean=   1.95 | std=  0.21 | CV= 0.11 | range=[1,3] | sessions=29/30 | zero=0.0%
  * 64:17:22             | mean=   1.95 | std=  0.21 | CV= 0.11 | range=[1,3] | sessions=29/30 | zero=0.0%

## fmin (func_id=63, 2 edges)
  * 63:8:10              | mean=   1.94 | std=  0.24 | CV= 0.12 | range=[1,3] | sessions=30/30 | zero=0.0%
  * 63:17:22             | mean=   1.94 | std=  0.24 | CV= 0.12 | range=[1,3] | sessions=30/30 | zero=0.0%

## log (func_id=77, 3 edges)
  * 77:29:31             | mean=   1.14 | std=  0.34 | CV= 0.30 | range=[1,2] | sessions=29/30 | zero=0.0%
  * 77:29:252            | mean=   1.65 | std=  0.48 | CV= 0.29 | range=[1,2] | sessions=29/30 | zero=0.0%
  * 77:275:388           | mean=   1.65 | std=  0.48 | CV= 0.29 | range=[1,2] | sessions=29/30 | zero=0.0%

## log_data (func_id=30, 17 edges)
    30:190:194           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:208:212           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:268:347           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:288:367           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:474:581           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:498:605           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:746:853           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:776:883           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:1032:1034         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:1069:1189         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:1145:2407         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    30:1423:1552         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:1786:1915         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    30:2149:2278         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
