# Library Edge Reference (316 edges)
# Generated from 30 sessions
# These account for ~92% of branch executions per tick
# * = variable edge (std > 0.01)
# ====================================================================================================

## __clock_gettime (func_id=47, 1 edges)
    47:43:62             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30

## __fwritex (func_id=92, 6 edges)
  * 92:12:35             | mean=  39.85 | std=  0.82 | CV= 0.02 | range=[36,43] | sessions=29/30
  * 92:51:72             | mean=  39.77 | std=  1.03 | CV= 0.03 | range=[34,43] | sessions=29/30
  * 92:87:192            | mean=  39.77 | std=  1.03 | CV= 0.03 | range=[34,43] | sessions=29/30
  * 92:51:53             | mean=   1.02 | std=  0.14 | CV= 0.14 | range=[1,2] | sessions=29/30
    92:64:84             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30
    92:64:107            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30

## __math_invalid (func_id=76, 3 edges)
  * 76:29:252            | mean=   1.52 | std=  0.50 | CV= 0.33 | range=[1,2] | sessions=1/30
  * 76:275:388           | mean=   1.52 | std=  0.50 | CV= 0.33 | range=[1,2] | sessions=1/30
  * 76:29:31             | mean=   1.26 | std=  0.44 | CV= 0.35 | range=[1,2] | sessions=1/30

## __stdio_close (func_id=82, 3 edges)
    82:31:46             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30
    82:69:71             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30
    82:86:96             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30

## __stdio_exit (func_id=90, 1 edges)
  * 90:32:47             | mean=   2.06 | std=  0.25 | CV= 0.12 | range=[2,4] | sessions=1/30

## __stdio_write (func_id=84, 3 edges)
    84:92:94             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30
    84:107:109           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30
    84:145:298           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30

## __towrite (func_id=91, 7 edges)
  * 91:32:47             | mean=   2.04 | std=  0.21 | CV= 0.10 | range=[2,3] | sessions=29/30
  * 91:12:35             | mean=  39.94 | std=  1.12 | CV= 0.03 | range=[36,45] | sessions=1/30
  * 91:51:72             | mean=  39.61 | std=  1.41 | CV= 0.04 | range=[34,45] | sessions=1/30
  * 91:87:192            | mean=  39.61 | std=  1.41 | CV= 0.04 | range=[34,45] | sessions=1/30
  * 91:51:53             | mean=   1.05 | std=  0.22 | CV= 0.21 | range=[1,2] | sessions=1/30
    91:64:106            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30
    91:64:83             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30

## __wasi_proc_exit (func_id=62, 2 edges)
  * 62:8:10              | mean=   1.40 | std=  0.49 | CV= 0.35 | range=[1,2] | sessions=1/30
  * 62:17:22             | mean=   1.40 | std=  0.49 | CV= 0.35 | range=[1,2] | sessions=1/30

## fputs (func_id=100, 11 edges)
  * 100:122:130          | mean=   3.02 | std=  0.14 | CV= 0.05 | range=[3,4] | sessions=1/30
  * 100:148:150          | mean=   3.02 | std=  0.14 | CV= 0.05 | range=[3,4] | sessions=1/30
  * 100:239:241          | mean=   2.06 | std=  0.25 | CV= 0.12 | range=[2,4] | sessions=1/30
  * 100:174:176          | mean=   2.02 | std=  0.14 | CV= 0.07 | range=[2,3] | sessions=1/30
  * 100:212:226          | mean=   2.02 | std=  0.14 | CV= 0.07 | range=[2,3] | sessions=1/30
  * 100:285:287          | mean=   2.02 | std=  0.14 | CV= 0.07 | range=[2,3] | sessions=1/30
  * 100:298:106          | mean=   2.02 | std=  0.14 | CV= 0.07 | range=[2,3] | sessions=1/30
    100:174:214          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30
    100:285:350          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30
